법정동,단지명,floor,지번,area,transaction_price,construction_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
창신동,창신쌍용2,4,703,54.7,"63,300",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용2,12,703,79.87,"84,000",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용2,11,703,54.7,"64,900",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용2,2,703,54.7,"61,000",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,두산,2,232,59.95,"79,500",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
창신동,창신쌍용2,2,703,54.7,"62,900",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용2,12,703,64.66,"68,800",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,MID그린(6동),6,601-7,59.04,"56,500",2002,37.5776032,127.0097354,서일문화예술고등학교,335,창신역 6호선,530,롯데슈퍼프레시 대학로점,618,알 수 없음,1.11101E+13,1,8
창신동,창신쌍용2,4,703,54.7,"67,000",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용2,6,703,54.7,"67,800",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용2,7,703,54.7,"69,800",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용2,3,703,64.66,"65,500",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용2,9,703,54.7,"69,700",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,덕산,1,639-50,59.28,"61,700",1999,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11101E+13,1,6
창신동,창신쌍용2,8,703,64.66,"76,500",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,흥인,5,627-21,56.88,"43,000",1997,37.5772038,127.0092511,서일문화예술고등학교,395,창신역 6호선,587,롯데슈퍼프레시 대학로점,614,알 수 없음,1.11101E+13,1,5
창신동,덕산,1,639-50,59.28,"61,700",1999,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11101E+13,1,6
창신동,덕산,3,639-50,59.28,"61,700",1999,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11101E+13,1,6
창신동,두산,8,232,84.9,"112,500",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
창신동,두산,1,232,59.95,"79,500",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
창신동,두산,2,232,59.95,"82,000",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
인의동,효성쥬얼리시티,13,Feb-48,98.39,"85,000",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
인의동,효성쥬얼리시티,7,Feb-48,103.62,"79,000",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
인의동,효성쥬얼리시티,14,Feb-48,84.98,"68,500",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
인의동,효성쥬얼리시티,16,Feb-48,98.39,"84,200",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
인의동,효성쥬얼리시티,11,Feb-48,106.81,"84,800",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
인의동,효성쥬얼리시티,10,Feb-48,84.64,"66,500",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
인의동,효성쥬얼리시티,19,Feb-48,169.86,"124,000",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
인의동,효성쥬얼리시티,9,Feb-48,106.81,"84,500",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
